Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",146.510470,-64.512640,90.000000,top
"C2","10uF","C_0805_2012Metric",159.510470,-80.012640,-90.000000,top
"C3","0.1uF","C_0805_2012Metric",131.510470,-72.236790,0.000000,top
"C4","0.1uF","C_0805_2012Metric",129.510470,-63.512640,90.000000,top
"C5","100pF","C_0805_2012Metric",136.010470,-72.236790,0.000000,top
"C6","10uF","C_0805_2012Metric",129.510470,-68.012640,-90.000000,top
"C7","10uF","C_0805_2012Metric",158.105364,-74.046790,180.000000,top
"C8","10uF","C_0805_2012Metric",146.510470,-80.012640,90.000000,top
"C9","0.1uF","C_0805_2012Metric",131.300470,-102.462640,-90.000000,top
"C10","10uF","C_0805_2012Metric",159.510470,-64.512640,90.000000,top
"C11","10uF","C_0805_2012Metric",157.972970,-89.592640,180.000000,top
"C12","0.1uF","C_0805_2012Metric",129.510470,-89.975140,90.000000,top
"C13","0.1uF","C_0805_2012Metric",131.510470,-98.736790,0.000000,top
"C14","100pF","C_0805_2012Metric",135.960470,-98.736790,0.000000,top
"C15","10uF","C_0805_2012Metric",129.510470,-94.475140,-90.000000,top
"C16","0.1uF","C_0805_2012Metric",128.010470,-85.054265,0.000000,top
"C17","1000uF","CP_Radial_D8.0mm_P5.00mm",155.010470,-103.512640,-90.000000,top
"C18","0.1uF","C_0805_2012Metric",126.010470,-77.054265,90.000000,top
"C19","6.8nF","C_0805_2012Metric",132.460470,-85.054265,0.000000,top
"C20","10uF","C_0805_2012Metric",119.250470,-102.462640,180.000000,top
"C21","10uF","C_0805_2012Metric",115.100470,-68.712640,0.000000,top
"C22","10uF","C_0805_2012Metric",115.050470,-71.712640,0.000000,top
"C23","10uF","C_0805_2012Metric",115.050470,-82.712640,0.000000,top
"C24","0.1uF","C_0805_2012Metric",111.050470,-60.712640,0.000000,top
"C25","0.1uF","C_0805_2012Metric",115.050470,-79.712640,180.000000,top
"IC1","LMV358IDR","D8",153.010470,-68.552640,180.000000,top
"IC2","MAX7403CSA+","21-0041B_8_MXM",135.010470,-66.012640,-90.000000,top
"IC3","LMV358IDR","D8",133.605470,-56.512640,-90.000000,top
"IC4","LMV358IDR","D8",152.972970,-84.092640,180.000000,top
"IC5","MAX7403CSA+","21-0041B_8_MXM",135.010470,-92.512640,-90.000000,top
"J1","Screw_Terminal_01x03","TerminalBlock_TE_282834-3_1x03_P2.54mm_Horizontal",139.430470,-115.512640,0.000000,top
"J2","Screw_Terminal_01x02","TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal",166.010470,-105.052640,90.000000,top
"J3","Screw_Terminal_01x03","TerminalBlock_TE_282834-3_1x03_P2.54mm_Horizontal",166.010470,-75.592640,90.000000,top
"J4","Screw_Terminal_01x03","TerminalBlock_TE_282834-3_1x03_P2.54mm_Horizontal",166.010470,-65.552640,90.000000,top
"J5","Screw_Terminal_01x02","TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal",149.090470,-56.512640,180.000000,top
"J6","Conn_01x16_Socket","PinSocket_1x16_P2.54mm_Vertical",121.010470,-60.452640,0.000000,top
"J7","Conn_01x12_Socket","PinSocket_1x12_P2.54mm_Vertical",141.336470,-70.612640,0.000000,top
"J8","Screw_Terminal_01x04","TerminalBlock_TE_282834-4_1x04_P2.54mm_Horizontal",107.050470,-86.422640,-90.000000,top
"J9","Screw_Terminal_01x02","TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal",166.010470,-111.782640,90.000000,top
"J10","Screw_Terminal_01x04","TerminalBlock_TE_282834-4_1x04_P2.54mm_Horizontal",166.010470,-98.012640,90.000000,top
"J11","Screw_Terminal_01x05","TerminalBlock_TE_282834-5_1x05_P2.54mm_Horizontal",149.350470,-115.512640,0.000000,top
"J12","Screw_Terminal_01x02","TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal",107.050470,-64.692640,-90.000000,top
"J13","Screw_Terminal_01x02","TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal",107.050470,-72.192640,-90.000000,top
"J14","RCU-0C","CONN1_RCU-0C_TEC",161.010470,-57.012640,180.000000,top
"J15","Screw_Terminal_01x02","TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal",156.550470,-56.512640,180.000000,top
"J16","Screw_Terminal_01x03","TerminalBlock_TE_282834-3_1x03_P2.54mm_Horizontal",166.010470,-85.592640,90.000000,top
"J17","Screw_Terminal_01x02","TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal",107.050470,-79.462640,-90.000000,top
"J18","Screw_Terminal_01x06","TerminalBlock_TE_282834-6_1x06_P2.54mm_Horizontal",107.050470,-98.462640,-90.000000,top
"J19","RCU-0C","CONN1_RCU-0C_TEC",161.010470,-53.512640,180.000000,top
"J20","RCU-0C","CONN1_RCU-0C_TEC",146.510470,-94.012640,180.000000,top
"J21","RCU-0C","CONN1_RCU-0C_TEC",146.510470,-97.512640,180.000000,top
"J22","RCU-0C","CONN1_RCU-0C_TEC",117.010470,-57.012640,0.000000,top
"J23","RCU-0C","CONN1_RCU-0C_TEC",117.010470,-60.512640,0.000000,top
"J24","RCU-0C","CONN1_RCU-0C_TEC",117.010470,-53.512640,0.000000,top
"R1","10k","R_1206_3216Metric",136.510470,-77.554265,-90.000000,top
"R2","10k","R_1206_3216Metric",136.510470,-83.054265,-90.000000,top
"R3","10k","R_1206_3216Metric",146.510470,-69.512640,90.000000,top
"R4","10k","R_1206_3216Metric",150.510470,-63.052640,0.000000,top
"R5","7.5k","R_1206_3216Metric",127.010470,-54.512640,180.000000,top
"R6","5k","R_1206_3216Metric",127.010470,-58.012640,0.000000,top
"R7","10k","R_1206_3216Metric",126.010470,-64.012640,-90.000000,top
"R8","10k","R_1206_3216Metric",126.010470,-69.512640,-90.000000,top
"R9","22k","R_1206_3216Metric",147.510470,-74.052640,180.000000,top
"R10","6.2k","R_1206_3216Metric",153.010470,-74.092640,180.000000,top
"R11","150","R_1206_3216Metric",140.510470,-54.512640,180.000000,top
"R12","10k","R_1206_3216Metric",159.510470,-69.512640,90.000000,top
"R13","10k","R_1206_3216Metric",155.510470,-63.052640,180.000000,top
"R14","150","R_1206_3216Metric",140.510470,-58.012640,180.000000,top
"R15","1.5k","R_1206_3216Metric",116.800470,-64.712640,-90.000000,top
"R16","10k","R_1206_3216Metric",159.472970,-85.012640,90.000000,top
"R17","10k","R_1206_3216Metric",155.510470,-78.592640,180.000000,top
"R18","1.5k","R_1206_3216Metric",116.800470,-75.712640,90.000000,top
"R19","3.3k","R_1206_3216Metric",112.800470,-64.712640,-90.000000,top
"R20","10k","R_1206_3216Metric",146.510470,-85.012640,90.000000,top
"R21","10k","R_1206_3216Metric",150.510470,-78.592640,0.000000,top
"R22","22k","R_1206_3216Metric",147.472970,-89.592640,180.000000,top
"R23","6.2k","R_1206_3216Metric",153.010470,-89.592640,180.000000,top
"R24","10k","R_1206_3216Metric",126.010470,-90.475140,-90.000000,top
"R25","10k","R_1206_3216Metric",126.010470,-95.975140,-90.000000,top
"R26","3.3k","R_1206_3216Metric",112.800470,-75.712640,90.000000,top
"RN1","CAY16-473J4LF","RESCAF80P320X160X60-8N",126.800470,-100.962640,90.000000,top
"RN2","CAY16-473J4LF","RESCAF80P320X160X60-8N",136.300470,-102.462640,90.000000,top
"RN3","CAY16-103J4LF","RESCAF80P320X160X60-8N",115.050470,-90.962640,0.000000,top
"SD1","MSD-4-A","CUI_MSD-4-A",126.800470,-113.550140,0.000000,top
"U1","SN74AHCT125DR","D14",155.970470,-96.548840,-90.000000,top
"U2","MAX7480ESA+","21-0041B_8_MXM",131.192095,-79.012640,-90.000000,top
